Name,Created,Property,Tags
Dom D’agostino and Layne Norton,"August 1, 2022 1:38 PM",,Diet
Paul Stamets,"August 1, 2022 1:38 PM",,Psychedelics
"Seth McFarlane ","August 1, 2022 1:38 PM",,Comedy
Norm McDonald,"August 1, 2022 1:38 PM",,Comedy
Jim Carey,"August 1, 2022 1:38 PM",,"Comedy, Philosophy"
Daniel Sloss,"August 1, 2022 1:38 PM",,Comedy
Daniel Tosh,"August 1, 2022 1:38 PM",,Comedy
Craig Ferguson,"August 1, 2022 1:38 PM",,Comedy
Ricky Gervais,"August 1, 2022 1:38 PM",,Comedy
Henry Ford,"August 1, 2022 1:38 PM",,"Entrepreneurial, Productivity"
Tim Ferris,"August 1, 2022 1:38 PM",,Productivity
Christopher Voss,"August 1, 2022 1:38 PM",,Communication
https://www.brianmackenzie.com/,"August 1, 2022 1:38 PM",,Health
Joe Dispenza,"August 1, 2022 1:38 PM",,Health
Wim Hof,"August 1, 2022 1:38 PM",,Health
Peter Attia,"August 1, 2022 1:38 PM",,Health
Pythagoras,"August 1, 2022 1:38 PM",,Philosophy
Jiddu Krishnamurti,"August 1, 2022 1:38 PM",,Philosophy
Aristotle,"August 1, 2022 1:38 PM",,Philosophy
Daniel Dennet,"August 1, 2022 1:38 PM",,Philosophy
Epictetus,"August 1, 2022 1:38 PM",,Philosophy
Sargon of Akkad,"August 1, 2022 1:38 PM",,Philosophy
Rene Descartes,"August 1, 2022 1:38 PM",,Philosophy
Karl Marx,"August 1, 2022 1:38 PM",,"Economist, Philosophy"
Stefan Molyneux,"August 1, 2022 1:38 PM",,Philosophy
Niccolo Machiavelli,"August 1, 2022 1:38 PM",,Philosophy
Confucius,"August 1, 2022 1:38 PM",,Philosophy
Jason Silva,"August 1, 2022 1:38 PM",,"Communication, Philosophy"
https://en.wikipedia.org/wiki/Charles_Bukowski,"August 1, 2022 1:38 PM",,Philosophy
Bill Hicks,"August 1, 2022 1:38 PM",,Philosophy
Alain de Botton,"August 1, 2022 1:38 PM",,Philosophy
Jean Paul Sartre,"August 1, 2022 1:38 PM",,Philosophy
Jean-Paul Sartre,"August 1, 2022 1:38 PM",,Philosophy
Bruce Lee,"August 1, 2022 1:38 PM",,Philosophy
Sacha Baron Cohen,"August 1, 2022 1:38 PM",,"Comedy, Philosophy"
Sam Harris,"August 1, 2022 1:38 PM",,Philosophy
Osho,"August 1, 2022 1:38 PM",,Philosophy
Immanuel Kant,"August 1, 2022 1:38 PM",,Philosophy
Alan Watts,"August 1, 2022 1:38 PM",,Philosophy
Socrates,"August 1, 2022 1:38 PM",,Philosophy
Alex Honnold,"August 1, 2022 1:38 PM",,"Climbing, Philosophy"
Mahatma Gandhi,"August 1, 2022 1:38 PM",,Philosophy
Laozi,"August 1, 2022 1:38 PM",,Philosophy
Muhammad Ali,"August 1, 2022 1:38 PM",,Philosophy
Sun Tzu,"August 1, 2022 1:38 PM",,Philosophy
Plato,"August 1, 2022 1:38 PM",,Philosophy
Jocko Willink,"August 1, 2022 1:38 PM",,"Philosophy, Productivity"
Albert Camus,"August 1, 2022 1:38 PM",,Philosophy
Carl G. Jung,"August 1, 2022 1:38 PM",,"Philosophy, Psychology"
Sigmund Freud,"August 1, 2022 1:38 PM",,Psychology
Robert Sapolsky,"August 1, 2022 1:38 PM",,Psychology
Gabor Mate,"August 1, 2022 1:38 PM",,Psychology
Michio Kaku,"August 1, 2022 1:38 PM",,Computing
"Roy Jones, Jr.","August 1, 2022 1:38 PM",,Fighting
John Danaher,"August 1, 2022 1:38 PM",,Fighting
Anderson Silva,"August 1, 2022 1:38 PM",,Fighting
Fedor Emelianenko,"August 1, 2022 1:38 PM",,Fighting
Jorge Masvidal,"August 1, 2022 1:38 PM",,Fighting
Sugar Ray Robinson,"August 1, 2022 1:38 PM",,Fighting
Khabib Nurmagomedov,"August 1, 2022 1:38 PM",,Fighting
"Jon Jones ","August 1, 2022 1:38 PM",,Fighting
Christian Bale,"August 1, 2022 1:38 PM",,Acting
Johnny Depp,"August 1, 2022 1:38 PM",,Acting
Andrew Scott,"August 1, 2022 1:38 PM",,Acting
Joaqin Pheonix,"August 1, 2022 1:38 PM",,Acting
Tom Hardy,"August 1, 2022 1:38 PM",,Acting
Robert Downey Jr.,"August 1, 2022 1:38 PM",,Acting
Marcel Proust,"August 1, 2022 1:38 PM",,Author
Robert Greene,"August 1, 2022 1:38 PM",,Author
William Faulkner,"August 1, 2022 1:38 PM",,Author
"Jon Ronson ","August 1, 2022 1:38 PM",,Author
Joseph Campbell,"August 1, 2022 1:38 PM",,Author
Leo Tolstoy,"August 1, 2022 1:38 PM",,Author
Homer,"August 1, 2022 1:38 PM",,Author
Fyodor Dostoevsky,"August 1, 2022 1:38 PM",,Author
Ernest Hemingway,"August 1, 2022 1:38 PM",,Author
Andre 3000,"August 1, 2022 1:38 PM",,Rapper
Kanye West,"August 1, 2022 1:38 PM",,Rapper
Notorious BIG,"August 1, 2022 1:38 PM",,Rapper
Royce da 5'9,"August 1, 2022 1:38 PM",,Rapper
Nas,"August 1, 2022 1:38 PM",,Rapper
Nipsey Hussle,"August 1, 2022 1:38 PM",,Rapper
Rick Ross,"August 1, 2022 1:38 PM",,Rapper
Snoop Dogg,"August 1, 2022 1:38 PM",,Rapper
Meek Mill,"August 1, 2022 1:38 PM",,Rapper
Christopher Hitchens,"August 1, 2022 1:38 PM",,"Critic, Philosophy"
Stanisław Szukalski,"August 1, 2022 1:38 PM",,Artist
Leonardo da Vinci,"August 1, 2022 1:38 PM",,Artist
Michelangelo,"August 1, 2022 1:38 PM",,Artist
William Shakespeare,"August 1, 2022 1:38 PM",,Artist
Ludwig van Beethoven,"August 1, 2022 1:38 PM",,Artist
Amadeus Mozart,"August 1, 2022 1:38 PM",,Artist
Claude Monet,"August 1, 2022 1:38 PM",,Artist
Walt Disney,"August 1, 2022 1:38 PM",,"Artist, Entrepreneurial"
Pablo Picasso,"August 1, 2022 1:38 PM",,Artist
Salvador Dali,"August 1, 2022 1:38 PM",,Artist
Vincent van Gogh,"August 1, 2022 1:38 PM",,Artist
Alan Turing,"August 1, 2022 1:38 PM",,Engineer
Nikola Tesla,"August 1, 2022 1:38 PM",,Engineer
Noam Chomsky,"August 1, 2022 1:38 PM",,"Economist, Philosophy"
Peter Schiff,"August 1, 2022 1:38 PM",,Economist
Steve Jobs,"August 1, 2022 1:38 PM",,Entrepreneurial
Alexander the Great,"August 1, 2022 1:38 PM",,Emperor
Julius Caesar,"August 1, 2022 1:38 PM",,Emperor
Napoleon Bonaparte,"August 1, 2022 1:38 PM",,Emperor
Albert Einstein,"August 1, 2022 1:38 PM",,Physics
Brian Cox,"August 1, 2022 1:38 PM",,Physics
Isaac Newton,"August 1, 2022 1:38 PM",,Physics
Stephen Hawkins,"August 1, 2022 1:38 PM",,Physics
Abraham Lincoln,"August 1, 2022 1:38 PM",,Politics
Nelson Mandela,"August 1, 2022 1:38 PM",,Politics
Benjamin Franklin,"August 1, 2022 1:38 PM",,Politics
Winston Churchill,"August 1, 2022 1:38 PM",,Politics
"Martin Luther King, Jr.","August 1, 2022 1:38 PM",,Politics
Malcom X,"August 1, 2022 1:38 PM",,Politics
Tupac Shakur,"August 1, 2022 1:38 PM",,"Politics, Rapper"
Desmond Tutu,"August 1, 2022 1:38 PM",,Politics
George Washington,"August 1, 2022 1:38 PM",,Politics
Roger Federer,"August 1, 2022 1:38 PM",,Athlete
Usain Bolt,"August 1, 2022 1:38 PM",,Athlete
Archimedes,"August 1, 2022 1:38 PM",,Science
Nicolaus Copernicus,"August 1, 2022 1:38 PM",,Science
Marie Curie,"August 1, 2022 1:38 PM",,Science
Francis Bacon,"August 1, 2022 1:38 PM",,Science
Johannes Kepler,"August 1, 2022 1:38 PM",,Science
Giordano Bruno,"August 1, 2022 1:38 PM",,Science
Marie Curie,"August 1, 2022 1:38 PM",,Science
Andreas Vesalius,"August 1, 2022 1:38 PM",,Science
Bob Marley,"August 1, 2022 1:38 PM",,"Philosophy, Singer"
Jim Morrison,"August 1, 2022 1:38 PM",,Singer
John Coltrane,"August 1, 2022 1:38 PM",,Musician
Jimmy Hendrix,"August 1, 2022 1:38 PM",,Musician
Ludwig Mies van der Rohe,"August 1, 2022 1:38 PM",,Architect
Marcel Breuer,"August 1, 2022 1:38 PM",,Architect
Le Corbusier,"August 1, 2022 1:38 PM",,Architect
Frank Lloyd Wright,"August 1, 2022 1:38 PM",,Architect
Bradley Garrett,"August 1, 2022 1:38 PM",,Geographer
Jack Manley,"August 1, 2022 1:38 PM",,YouTuber
Michael Sealey,"August 1, 2022 1:38 PM",,Hypnosis
David Duchovny,"August 1, 2022 1:38 PM",,
Mathew Walker,"August 1, 2022 1:38 PM",,
James Acaster,"August 1, 2022 1:38 PM",,
Friedrich Nietzsche,"August 1, 2022 1:38 PM",,
Richard Dawkins,"August 1, 2022 1:38 PM",,
Napoleon Hill,"August 1, 2022 1:38 PM",,
Lance Armstrong,"August 1, 2022 1:38 PM",,
Terrence McKenna,"August 1, 2022 1:38 PM",,
Jordan Peterson,"August 1, 2022 1:38 PM",,
Karl Deisseroth,"August 1, 2022 1:38 PM",,
Guy Ritchie,"August 1, 2022 1:38 PM",,
Lex Friedman,"August 1, 2022 1:38 PM",,
Richard Feynman,"August 1, 2022 1:38 PM",,
Elon Musk,"August 1, 2022 1:38 PM",,
Naval Ravikant,"August 1, 2022 1:38 PM",,
David Sinclair,"August 1, 2022 1:38 PM",,
Gordon Ramsey,"August 1, 2022 1:38 PM",,
Neil deGrasse Tyson,"August 1, 2022 1:38 PM",,
,"August 1, 2022 1:38 PM",,
George Carlin,"August 1, 2022 1:38 PM",,
Gary Vee,"August 1, 2022 1:38 PM",,
Galileo Galilee,"August 1, 2022 1:38 PM",,
Lawrence Krauss,"August 1, 2022 1:38 PM",,
Russel Brand,"August 1, 2022 1:38 PM",,
Ray Dalio,"August 1, 2022 1:38 PM",,
Pavel Tsatsouline,"August 1, 2022 1:38 PM",,
Bret Weinstein,"August 1, 2022 1:38 PM",,
Dan Carlin,"August 1, 2022 1:38 PM",,
"Robin Williams ","August 1, 2022 1:38 PM",,
Firas Zahabi,"August 1, 2022 1:38 PM",,
Graham Stephan,"August 1, 2022 1:38 PM",,
Paul Chek,"August 1, 2022 1:38 PM",,
Jacko Willink,"August 1, 2022 1:38 PM",,
Russ,"August 1, 2022 1:38 PM",,
Nick Yarris,"August 1, 2022 1:38 PM",,
Joel McHale,"August 1, 2022 1:38 PM",,
Warren Buffet,"August 1, 2022 1:38 PM",,
Quentin Tarantino,"August 1, 2022 1:38 PM",,
Viktor E Frankl,"August 1, 2022 1:38 PM",,
Ben Shapiro,"August 1, 2022 1:38 PM",,
Edward Snowden,"August 1, 2022 1:38 PM",,
Don Rickles,"August 1, 2022 1:38 PM",,
Patrick Bet-David,"August 1, 2022 1:38 PM",,
Marcus Aurelius,"August 1, 2022 1:38 PM",,
Georges St-Pierre,"August 1, 2022 1:38 PM",,
Eric Weinstein,"August 1, 2022 1:38 PM",,
Robbie Williams,"August 1, 2022 1:38 PM",,
Carl Sagan,"August 1, 2022 1:38 PM",,
Kevin O'Leary,"August 1, 2022 1:38 PM",,
Jimmy Carr,"August 1, 2022 1:38 PM",,
Brian Greene,"August 1, 2022 1:38 PM",,
Mark Manson,"August 1, 2022 1:38 PM",,
James Clear,"August 1, 2022 1:38 PM",,
Patrice O'Neal,"August 1, 2022 1:38 PM",,
Kevin Hart,"August 1, 2022 1:38 PM",,
Mark Normand,"August 1, 2022 1:38 PM",,
Ralph Waldo Emerson,"August 1, 2022 1:38 PM",,
Dave Chappelle,"August 1, 2022 1:38 PM",,
Aldous Huxley,"August 1, 2022 1:38 PM",,
Steven Pinker,"August 1, 2022 1:38 PM",,
Randall Carlson and Graham Hancock,"August 1, 2022 1:38 PM",,
Charles Darwin,"August 1, 2022 1:38 PM",,
Richard Pryor,"August 1, 2022 1:38 PM",,
Derren Brown,"August 1, 2022 1:38 PM",,
Tyson Fury,"August 1, 2022 1:38 PM",,
Bo Burnham,"August 1, 2022 1:38 PM",,
https://www.ynharari.com/,"August 1, 2022 1:38 PM",,
Connor McGreggor,"August 1, 2022 1:38 PM",,
Bill Gates,"August 1, 2022 1:38 PM",,
Andrew Huberman,"August 1, 2022 1:38 PM",,
Sadhguru,"August 1, 2022 1:38 PM",,
Chris Duffin,"August 1, 2022 1:38 PM",,
David Goggins,"August 1, 2022 1:38 PM",,
Wittgenstein,"August 1, 2022 1:38 PM",,
Bill Burr,"August 1, 2022 1:38 PM",,
Rhonda Patrick,"August 1, 2022 1:38 PM",,
Mitch Hedberg,"August 1, 2022 1:38 PM",,
Mike Tyson,"August 1, 2022 1:38 PM",,
Jay Z,"August 1, 2022 1:38 PM",,